NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	139.616	70.968	21.09	53.305	0.536	0.736	100000.0
2	138.531	70.382	20.82	52.98	0.533	0.737	50000.0
3	138.564	70.024	20.96	52.847	0.527	0.74	50000.0
4	138.21	69.983	20.956	52.751	0.526	0.743	110000.0
5	137.633	69.881	20.862	52.67	0.527	0.744	80000.0
6	138.592	69.954	20.949	52.723	0.526	0.742	50000.0
7	138.653	70.373	21.017	52.964	0.532	0.741	70000.0
8	139.863	70.191	21.228	53.014	0.526	0.742	80000.0
9	138.232	70.296	20.913	52.875	0.53	0.742	100000.0
10	140.301	71.046	21.297	53.434	0.537	0.736	120000.0
