NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	158.088	78.772	24.277	59.877	0.663	0.66	20000.0
2	156.952	78.393	24.018	59.775	0.664	0.659	20000.0
3	156.842	78.268	24.086	59.606	0.661	0.663	30000.0
4	156.017	78.155	24.043	59.584	0.665	0.663	20000.0
5	156.328	77.867	24.042	59.381	0.657	0.666	30000.0
6	157.772	78.403	24.232	59.734	0.66	0.664	20000.0
7	157.515	78.701	24.313	59.886	0.665	0.661	30000.0
8	157.703	78.234	24.381	59.908	0.66	0.664	50000.0
9	156.36	78.412	23.986	59.562	0.665	0.663	20000.0
10	157.557	78.675	24.247	59.938	0.671	0.659	20000.0
