Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-64-1680-01A-02W-0928-08	0	13	12	0	2	0	14	5
TCGA-64-1681-01A-11D-2063-08	0	4	12	13	9	0	5	22
TCGA-64-5774-01A-01D-1625-08	76	18	5	24	2	5	14	0
TCGA-64-5775-01A-01D-1625-08	285	46	19	38	75	7	31	5
TCGA-64-5778-01A-01D-1625-08	240	63	30	18	67	39	17	12
TCGA-64-5781-01A-01D-1625-08	480	183	127	0	262	37	28	35
TCGA-64-5815-01A-01D-1625-08	68	34	1	15	40	0	23	0
TCGA-67-3770-01A-01D-0969-08	103	24	6	0	32	49	14	5
TCGA-67-3770-01A-01W-0928-08	100	34	7	0	21	47	15	2
TCGA-67-3771-01A-01D-1040-01	311	57	315	188	156	77	30	6
TCGA-67-3771-01A-01W-0928-08	267	100	311	174	205	74	28	22
TCGA-67-3773-01A-01D-1040-01	49	0	3	0	20	11	13	6
TCGA-67-3774-01A-01D-1040-01	19	30	5	18	32	5	7	2
TCGA-67-3774-01A-01W-0928-08	9	36	1	22	26	4	5	0
TCGA-67-4679-01B-01D-1753-08	120	55	5	0	82	0	18	12
TCGA-67-6215-01A-11D-1753-08	0	0	0	0	0	4	0	105
TCGA-67-6216-01A-11D-1753-08	0	0	7	1	14	1	2	1
TCGA-67-6217-01A-11D-1753-08	97	27	5	30	2	8	11	12
TCGA-69-7760-01A-11D-2167-08	10	7	4	0	0	15	18	17
TCGA-69-7764-01A-11D-2167-08	19	0	8	0	15	33	15	1
TCGA-69-7765-01A-11D-2167-08	281	170	54	26	67	31	0	11
TCGA-69-7973-01A-11D-2184-08	181	0	11	42	0	2	26	3
TCGA-69-7974-01A-11D-2184-08	281	0	26	146	25	19	31	0
TCGA-69-7978-01A-11D-2184-08	230	77	167	96	0	17	29	0
TCGA-69-8253-01A-11D-2284-08	67	0	19	0	57	0	14	10
TCGA-69-8254-01A-11D-2284-08	9	0	1	21	22	0	16	6
TCGA-69-8255-01A-11D-2284-08	63	42	34	7	88	21	20	25
TCGA-69-A59K-01A-11D-A25L-08	311	70	51	0	0	25	42	9
TCGA-71-6725-01A-11D-1855-08	1	0	5	0	16	5	28	2
TCGA-71-8520-01A-11D-2393-08	5	22	15	0	0	15	29	6
TCGA-73-4658-01A-01D-1753-08	66	83	124	0	12	10	9	28
TCGA-73-4659-01A-01D-1265-08	50	91	5	28	29	0	14	5
TCGA-73-4662-01A-01D-1265-08	99	0	14	27	60	6	7	0
TCGA-73-4670-01A-01D-1265-08	142	38	11	0	80	36	17	42
TCGA-73-4675-01A-01D-1265-08	8	0	3	12	13	17	12	4
