NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	288.385	88.485	70.083	63.551	0.789	0.74	30000.0
2	288.254	88.291	70.151	63.384	0.783	0.743	30000.0
3	286.221	87.93	69.861	63.326	0.783	0.742	40000.0
4	287.168	88.14	69.963	63.437	0.783	0.741	20000.0
5	288.3	88.487	70.325	64.135	0.784	0.737	20000.0
6	287.949	87.995	69.671	63.339	0.783	0.743	20000.0
7	285.977	88.015	69.697	63.603	0.785	0.739	20000.0
8	286.893	87.944	69.927	63.53	0.779	0.741	20000.0
9	286.903	88.063	69.745	63.464	0.785	0.739	20000.0
10	286.984	88.377	69.877	63.428	0.784	0.742	20000.0
