NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	163.599	73.455	34.306	47.988	0.585	0.852	20000.0
2	162.058	73.621	34.068	48.144	0.585	0.853	20000.0
3	161.389	73.416	34.085	48.419	0.585	0.85	30000.0
4	161.697	73.204	34.043	48.171	0.582	0.852	20000.0
5	162.614	73.736	34.454	48.905	0.585	0.847	30000.0
6	160.547	73.225	33.588	48.082	0.583	0.852	20000.0
7	161.872	73.141	34.305	48.265	0.583	0.85	30000.0
8	162.265	73.442	34.424	48.407	0.583	0.851	40000.0
9	161.706	73.481	34.155	48.576	0.588	0.846	40000.0
10	159.983	73.293	33.698	48.212	0.584	0.851	30000.0
