Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-AA-3664-01A-01W-0900-09	3	54	1	14	10	0	57	7	13
TCGA-AA-3666-01A-02W-0900-09	0	0	6	7	23	14	3	127	7
TCGA-AA-3667-01A-01W-0900-09	13	7	0	3	0	0	0	30	14
TCGA-AA-3672-01A-01W-0900-09	787	174	11	91	315	19	0	269	0
TCGA-AA-3673-01A-01W-0900-09	0	32	0	0	6	9	1	13	12
TCGA-AA-3675-01A-02W-0900-09	3	46	3	2	0	0	17	5	24
TCGA-AA-3678-01A-01W-0900-09	0	34	0	8	2	6	6	2	13
TCGA-AA-3679-01A-02W-0900-09	5	19	0	0	1	0	26	22	1
TCGA-AA-3680-01A-01W-0900-09	0	43	3	23	4	8	20	0	8
TCGA-AA-3681-01A-01W-0900-09	1	54	0	3	12	8	19	10	19
TCGA-AA-3685-01A-02W-0900-09	0	31	1	3	1	7	23	0	21
TCGA-AA-3688-01A-01W-0900-09	0	15	10	2	5	0	24	8	11
TCGA-AA-3693-01A-01W-0900-09	1	17	0	0	11	1	49	36	45
TCGA-AA-3696-01A-01W-0900-09	10	27	8	0	4	3	13	10	16
TCGA-AA-3697-01A-01D-1719-10	1	19	0	9	6	21	45	68	35
TCGA-AA-3712-01A-21D-1719-10	0	0	14	1	0	6	10	44	84
TCGA-AA-3713-01A-21D-1719-10	417	191	11	34	77	0	0	209	0
TCGA-AA-3812-01A-01W-0900-09	2	24	4	19	12	0	28	21	8
TCGA-AA-3814-01A-01W-0900-09	6	36	0	0	4	24	20	1	16
TCGA-AA-3815-01A-01W-0995-10	212	168	11	45	362	0	80	0	0
TCGA-AA-3818-01A-01W-0900-09	9	20	1	10	0	30	49	28	5
TCGA-AA-3831-01A-01W-0900-09	3	22	1	18	2	11	6	38	4
TCGA-AA-3833-01A-01W-0900-09	284	149	9	11	97	0	58	0	0
TCGA-AA-3841-01A-01W-0900-09	0	26	0	0	0	10	11	15	13
TCGA-AA-3842-01A-01W-0995-10	0	22	1	10	6	1	47	0	14
TCGA-AA-3844-01A-01W-0995-10	7	3	0	5	10	8	76	0	19
TCGA-AA-3845-01A-01D-1981-10	346	214	14	33	225	48	60	25	3
TCGA-AA-3845-01A-01W-0995-10	303	147	0	42	229	81	84	0	0
TCGA-AA-3846-01A-01W-0995-10	0	21	0	4	1	7	11	23	30
TCGA-AA-3848-01A-01W-0900-09	6	50	0	8	7	0	35	18	34
TCGA-AA-3851-01A-01W-0995-10	0	35	1	9	13	0	31	3	0
TCGA-AA-3855-01A-01W-0995-10	0	47	6	0	10	1	9	34	38
TCGA-AA-3856-01A-01W-0900-09	0	21	0	8	0	0	4	11	18
TCGA-AA-3858-01A-01W-0900-09	1	27	0	7	2	1	15	0	9
TCGA-AA-3860-01A-02W-0900-09	0	4	0	5	7	0	37	0	0
TCGA-AA-3861-01A-01W-0995-10	5	39	0	7	0	13	41	16	0
TCGA-AA-3862-01A-01W-0995-10	0	8	1	0	7	13	0	60	7
TCGA-AA-3864-01A-01D-1981-10	1211	1270	18	82	201	0	0	97	0
TCGA-AA-3866-01A-01W-0995-10	14	39	0	13	0	1	37	11	7
TCGA-AA-3867-01A-01W-0995-10	0	30	0	0	4	11	22	0	31
TCGA-AA-3869-01A-01W-0995-10	4	23	0	16	6	0	7	0	23
TCGA-AA-3870-01A-01W-0995-10	18	41	0	5	4	12	33	0	13
TCGA-AA-3875-01A-01W-0900-09	9	30	0	19	0	3	45	11	12
TCGA-AA-3930-01A-01W-0995-10	0	23	0	12	1	11	4	43	113
TCGA-AA-3939-01A-01W-0995-10	1	29	1	13	0	0	29	17	29
TCGA-AA-3941-01A-01W-0995-10	6	37	1	10	2	2	20	19	14
TCGA-AA-3952-01A-01W-0995-10	0	21	0	0	3	9	21	0	38
TCGA-AA-3955-01A-02W-0995-10	0	1	7	0	9	0	40	63	13
TCGA-AA-3956-01A-02W-0995-10	0	31	2	12	12	0	32	22	21
TCGA-AA-3967-01A-01W-1073-09	11	33	0	0	0	12	44	17	39
TCGA-AA-3968-01A-01W-0995-10	0	33	0	5	6	21	43	6	13
TCGA-AA-3971-01A-01W-0995-10	0	13	0	6	4	0	22	20	23
TCGA-AA-3972-01A-01W-0995-10	0	21	0	9	5	4	29	0	26
