Samples	SBS96A	SBS96B	SBS96C
TCGA-17-Z048-01A-01W-0746-08	0	5	24
TCGA-17-Z049-01A-01W-0746-08	411	55	43
TCGA-17-Z050-01A-01W-0747-08	79	32	62
TCGA-17-Z051-01A-01W-0747-08	85	17	35
TCGA-17-Z052-01A-01W-0747-08	93	5	20
TCGA-17-Z053-01A-01W-0747-08	148	39	68
TCGA-17-Z054-01A-01W-0747-08	0	0	4
TCGA-17-Z055-01A-01W-0747-08	505	38	92
TCGA-17-Z056-01A-01W-0747-08	312	115	52
TCGA-17-Z057-01A-01W-0747-08	119	239	56
TCGA-17-Z058-01A-01W-0747-08	46	6	26
TCGA-17-Z059-01A-01W-0747-08	104	39	16
TCGA-17-Z061-01A-01W-0747-08	103	29	50
TCGA-17-Z062-01A-01W-0747-08	372	33	38
TCGA-35-4122-01A-01D-1105-08	175	66	89
TCGA-35-4123-01A-01D-1105-08	245	16	43
TCGA-35-5375-01A-01D-1625-08	276	55	109
TCGA-38-4625-01A-01D-1553-08	469	130	12
TCGA-38-4626-01A-01D-1553-08	200	13	5
TCGA-38-4627-01A-01D-1553-08	2	4	22
TCGA-38-4628-01A-01D-1265-08	43	23	60
TCGA-38-4629-01A-02D-1265-08	167	41	77
TCGA-38-4630-01A-01D-1265-08	17	59	49
TCGA-38-4631-01A-01D-1753-08	697	42	35
TCGA-38-4632-01A-01D-1753-08	394	53	79
TCGA-38-6178-01A-11D-1753-08	19	8	27
TCGA-38-7271-01A-11D-2036-08	31	23	0
TCGA-44-2655-01A-01D-1553-08	166	14	8
TCGA-44-2655-01A-01W-0928-08	164	17	14
TCGA-44-2656-01A-02D-0969-08	796	37	82
TCGA-44-2656-01A-02D-A271-08	745	26	62
TCGA-44-2656-01A-02W-0928-08	726	34	49
TCGA-44-2656-01A-12D-A27T-08	762	31	80
TCGA-44-2656-01A-41D-A27T-08	787	31	76
TCGA-44-2656-01B-06D-A271-08	673	43	41
TCGA-44-2657-01A-01D-1105-08	337	47	35
TCGA-44-2661-01A-01D-1105-08	9	7	27
TCGA-44-2662-01A-01D-0969-08	45	175	6
TCGA-44-2662-01A-01D-A271-08	52	157	8
TCGA-44-2662-01A-01W-0928-08	49	157	1
TCGA-44-2662-01B-02D-A271-08	37	146	7
TCGA-44-2665-01A-01D-1040-01	0	13	34
TCGA-44-2665-01A-01D-A271-08	0	14	34
TCGA-44-2665-01A-01W-0928-08	2	17	33
TCGA-44-2665-01B-06D-A271-08	1	17	34
TCGA-44-2666-01A-01D-1489-08	4	4	22
TCGA-44-2666-01A-01D-A271-08	3	4	20
TCGA-44-2666-01A-01W-0928-08	2	4	26
TCGA-44-2666-01A-21D-A27T-08	5	4	25
TCGA-44-2666-01A-41D-A27T-08	3	6	25
TCGA-44-2666-01B-02D-A271-08	3	3	19
TCGA-44-2668-01A-01D-0969-08	277	91	34
TCGA-44-2668-01A-01D-A271-08	259	83	21
TCGA-44-2668-01A-01W-0928-08	287	91	19
TCGA-44-2668-01B-02D-A271-08	176	50	10
TCGA-44-3396-01A-01D-1553-08	50	87	56
TCGA-44-3398-01A-01D-1105-08	104	57	30
TCGA-44-3917-01A-01D-A271-08	153	32	47
TCGA-44-3917-01B-02D-A271-08	153	35	51
TCGA-44-3918-01B-02D-A271-08	822	97	8
TCGA-44-3919-01A-02D-1105-08	9	6	18
TCGA-44-3919-01A-02D-1458-08	9	10	19
TCGA-44-4112-01A-01D-1105-08	353	38	39
TCGA-44-4112-01A-01D-1458-08	373	37	40
TCGA-44-4112-01A-22D-A27T-08	373	38	54
TCGA-44-4112-01A-31D-A27T-08	350	98	53
TCGA-44-4112-01B-06D-A271-08	290	34	25
TCGA-44-5643-01A-01D-1625-08	45	32	61
TCGA-44-5644-01A-21D-2036-08	785	78	133
TCGA-44-5645-01A-01D-1625-08	0	0	36
TCGA-44-5645-01A-01D-A271-08	0	0	36
TCGA-44-5645-01A-21D-A27T-08	0	0	40
TCGA-44-5645-01A-51D-A27T-08	0	0	38
TCGA-44-5645-01B-04D-A271-08	0	0	37
TCGA-44-6144-01A-11D-1753-08	153	32	51
TCGA-44-6145-01A-11D-1753-08	287	13	25
TCGA-44-6147-01A-11D-1753-08	133	25	29
TCGA-44-6147-01A-11D-A271-08	139	33	27
TCGA-44-6147-01A-21D-A27T-08	129	27	70
TCGA-44-6147-01A-31D-A27T-08	104	12	7
TCGA-44-6147-01B-06D-A271-08	108	15	28
TCGA-44-6774-01A-21D-1855-08	277	11	19
TCGA-44-6775-01A-11D-1855-08	27	6	27
TCGA-44-6775-01A-11D-A271-08	19	9	31
TCGA-44-6775-01A-21D-A27T-08	23	7	28
TCGA-44-6775-01A-31D-A27T-08	28	10	28
TCGA-44-6775-01C-02D-A271-08	19	5	31
TCGA-44-6776-01A-11D-1855-08	153	13	34
TCGA-44-6777-01A-11D-1855-08	226	86	60
TCGA-44-6778-01A-11D-1855-08	312	28	65
TCGA-44-6779-01A-11D-1855-08	37	8	56
TCGA-44-7659-01A-11D-2063-08	106	16	30
TCGA-44-7660-01A-11D-2063-08	223	49	89
TCGA-44-7661-01A-11D-2063-08	175	49	37
TCGA-44-7662-01A-11D-2063-08	435	88	61
TCGA-44-7667-01A-31D-2063-08	351	34	99
TCGA-44-7670-01A-11D-2063-08	891	180	65
TCGA-44-7671-01A-11D-2063-08	163	17	60
TCGA-44-7672-01A-11D-2063-08	125	10	27
TCGA-44-8117-01A-11D-2238-08	681	52	79
TCGA-44-8119-01A-11D-2238-08	479	40	147
TCGA-44-8120-01A-11D-2238-08	529	46	70
TCGA-44-A479-01A-31D-A24D-08	249	29	17
TCGA-44-A47A-01A-21D-A24D-08	79	78	59
TCGA-44-A47G-01A-21D-A24D-08	23	20	26
TCGA-44-A4SS-01A-11D-A24P-08	338	69	84
TCGA-44-A4SU-01A-11D-A24P-08	85	10	55
TCGA-49-4487-01A-21D-1855-08	255	73	24
TCGA-49-4488-01A-01D-1753-08	248	37	14
TCGA-49-4490-01A-21D-1855-08	0	12	28
TCGA-49-4494-01A-01D-1265-08	151	14	35
TCGA-49-4501-01A-01D-1265-08	2	10	34
TCGA-49-4505-01A-01D-1931-08	140	21	61
TCGA-49-4506-01A-01D-1265-08	76	8	32
TCGA-49-4510-01A-01D-1265-08	27	8	12
TCGA-49-4512-01A-21D-1855-08	7	5	24
