NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	117.031	63.889	20.823	40.747	0.497	0.877	40000.0
2	115.897	64.206	20.528	41.003	0.5	0.874	40000.0
3	119.771	63.442	21.33	40.134	0.495	0.882	50000.0
4	118.542	63.38	20.877	40.135	0.489	0.881	60000.0
5	115.051	63.952	19.704	40.036	0.508	0.879	40000.0
6	115.319	63.624	20.327	40.614	0.498	0.877	40000.0
7	116.102	64.088	20.58	41.051	0.498	0.874	60000.0
8	116.203	64.321	20.505	41.019	0.504	0.874	60000.0
9	116.95	64.368	20.779	41.111	0.504	0.872	100000.0
10	116.036	63.597	20.637	40.386	0.495	0.877	40000.0
