NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	137.429	69.884	20.818	52.746	0.521	0.743	60000.0
2	137.094	69.773	20.664	52.699	0.524	0.741	60000.0
3	137.031	69.68	20.73	52.42	0.521	0.745	60000.0
4	136.092	69.194	20.684	52.243	0.519	0.749	160000.0
5	136.147	69.263	20.713	52.394	0.519	0.747	90000.0
6	136.219	68.772	20.458	51.72	0.514	0.752	70000.0
7	137.441	69.751	20.866	52.558	0.523	0.746	110000.0
8	138.128	69.46	21.047	52.692	0.519	0.746	100000.0
9	135.568	69.118	20.397	52.037	0.523	0.749	80000.0
10	137.659	70.157	20.774	52.596	0.529	0.745	70000.0
