Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-44-2665-01A-01D-1040-01	0	14	8	25
TCGA-44-2665-01A-01D-A271-08	1	15	6	26
TCGA-44-2665-01A-01W-0928-08	0	15	20	17
TCGA-44-2665-01B-06D-A271-08	1	17	14	20
TCGA-44-2666-01A-01D-1489-08	4	4	7	15
TCGA-44-2666-01A-01D-A271-08	4	4	6	13
TCGA-44-2666-01A-01W-0928-08	2	5	6	19
TCGA-44-2666-01A-21D-A27T-08	6	4	5	19
TCGA-44-2666-01A-41D-A27T-08	3	6	9	16
TCGA-44-2666-01B-02D-A271-08	4	3	3	15
TCGA-44-2668-01A-01D-0969-08	258	86	39	19
TCGA-44-2668-01A-01D-A271-08	244	79	28	12
TCGA-44-2668-01A-01W-0928-08	270	87	28	12
TCGA-44-2668-01B-02D-A271-08	160	46	28	2
TCGA-44-3396-01A-01D-1553-08	52	88	11	42
TCGA-44-3398-01A-01D-1105-08	105	58	3	25
TCGA-44-3917-01A-01D-A271-08	143	30	32	27
TCGA-44-3917-01B-02D-A271-08	142	33	34	30
TCGA-44-3918-01B-02D-A271-08	806	95	6	20
TCGA-44-3919-01A-02D-1105-08	6	5	15	7
TCGA-44-3919-01A-02D-1458-08	7	9	13	9
TCGA-44-4112-01A-01D-1105-08	347	38	13	32
TCGA-44-4112-01A-01D-1458-08	367	36	15	32
TCGA-44-4112-01A-22D-A27T-08	375	39	4	47
TCGA-44-4112-01A-31D-A27T-08	352	100	0	49
TCGA-44-4112-01B-06D-A271-08	284	34	9	22
TCGA-44-5643-01A-01D-1625-08	47	33	12	46
TCGA-44-5644-01A-21D-2036-08	757	74	76	89
TCGA-44-5645-01A-01D-1625-08	1	0	20	15
TCGA-44-5645-01A-01D-A271-08	2	0	21	13
TCGA-44-5645-01A-21D-A27T-08	2	0	21	17
TCGA-44-5645-01A-51D-A27T-08	2	0	19	17
TCGA-44-5645-01B-04D-A271-08	3	0	16	18
TCGA-44-6144-01A-11D-1753-08	138	29	44	25
TCGA-44-6145-01A-11D-1753-08	275	12	22	16
TCGA-44-6147-01A-11D-1753-08	126	23	21	17
TCGA-44-6147-01A-11D-A271-08	140	33	5	21
TCGA-44-6147-01A-21D-A27T-08	136	28	6	56
TCGA-44-6147-01A-31D-A27T-08	93	10	20	0
TCGA-44-6147-01B-06D-A271-08	104	14	15	18
TCGA-44-6774-01A-21D-1855-08	269	11	13	14
TCGA-44-6775-01A-11D-1855-08	23	6	16	15
TCGA-44-6775-01A-11D-A271-08	16	9	17	17
TCGA-44-6775-01A-21D-A27T-08	19	6	19	14
TCGA-44-6775-01A-31D-A27T-08	24	9	18	15
TCGA-44-6775-01C-02D-A271-08	14	4	23	14
TCGA-44-6776-01A-11D-1855-08	147	13	19	21
TCGA-44-6777-01A-11D-1855-08	219	84	29	40
TCGA-44-6778-01A-11D-1855-08	285	24	63	33
TCGA-44-6779-01A-11D-1855-08	44	10	1	46
TCGA-44-7659-01A-11D-2063-08	89	14	40	9
TCGA-44-7660-01A-11D-2063-08	185	42	102	32
TCGA-44-7661-01A-11D-2063-08	164	46	30	21
TCGA-44-7662-01A-11D-2063-08	394	80	86	24
