Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-97-7552-01A-11D-2036-08	4	1	7	19
TCGA-97-7553-01A-21D-2036-08	16	4	0	25
TCGA-97-7554-01A-11D-2036-08	323	28	68	32
TCGA-97-7938-01A-11D-2167-08	318	59	8	33
TCGA-97-8171-01A-11D-2284-08	13	3	5	34
TCGA-97-8174-01A-11D-2284-08	102	24	3	40
TCGA-97-8175-01A-11D-2284-08	9	5	10	6
TCGA-97-8177-01A-11D-2284-08	4	5	15	10
TCGA-97-8552-01A-11D-2393-08	5	2	5	11
TCGA-97-A4LX-01A-11D-A24P-08	136	9	34	8
TCGA-97-A4M0-01A-11D-A24P-08	259	82	57	8
TCGA-97-A4M1-01A-11D-A24P-08	8	12	0	23
TCGA-97-A4M3-01A-11D-A24P-08	152	38	8	20
TCGA-97-A4M6-01A-11D-A24P-08	3	5	13	12
TCGA-97-A4M7-01A-11D-A24P-08	276	17	4	19
TCGA-99-7458-01A-11D-2036-08	373	25	56	44
TCGA-99-8025-01A-11D-2238-08	236	164	46	70
TCGA-99-8028-01A-11D-2238-08	343	10	39	9
TCGA-99-8033-01A-11D-2238-08	106	14	31	27
TCGA-99-AA5R-01A-11D-A397-08	30	3	9	0
TCGA-J2-8192-01A-11D-2238-08	16	13	9	36
TCGA-J2-8194-01A-11D-2238-08	83	11	28	36
TCGA-J2-A4AD-01A-11D-A24D-08	106	155	57	27
TCGA-J2-A4AE-01A-21D-A24D-08	3	19	4	30
TCGA-J2-A4AG-01A-11D-A24D-08	45	8	12	16
TCGA-L4-A4E5-01A-11D-A24P-08	288	22	28	25
TCGA-L4-A4E6-01A-11D-A24D-08	6	2	0	0
TCGA-L9-A443-01A-12D-A24D-08	187	21	30	17
TCGA-L9-A50W-01A-12D-A397-08	5	10	14	4
TCGA-L9-A5IP-01A-21D-A397-08	235	26	22	19
TCGA-L9-A743-01A-43D-A397-08	53	54	10	4
TCGA-L9-A7SV-01A-11D-A397-08	1621	70	0	46
TCGA-L9-A8F4-01A-11D-A397-08	583	76	117	44
TCGA-MN-A4N1-01A-11D-A24P-08	347	39	30	56
TCGA-MN-A4N4-01A-12D-A24P-08	990	396	85	57
TCGA-MN-A4N5-01A-11D-A24P-08	349	58	41	28
TCGA-MP-A4SV-01A-11D-A24P-08	155	131	48	19
TCGA-MP-A4SW-01A-21D-A24P-08	12	14	0	41
TCGA-MP-A4T2-01A-11D-A24P-08	21	27	25	15
TCGA-MP-A4T4-01A-11D-A25L-08	300	38	33	30
TCGA-MP-A4T6-01A-32D-A25L-08	6	26	16	30
TCGA-MP-A4T7-01A-11D-A24P-08	111	7	1	22
TCGA-MP-A4T8-01A-11D-A24P-08	68	11	18	17
TCGA-MP-A4T9-01A-11D-A24P-08	10	6	11	8
TCGA-MP-A4TA-01A-21D-A24P-08	220	30	81	39
TCGA-MP-A4TC-01A-11D-A24P-08	196	33	26	16
TCGA-MP-A4TD-01A-32D-A25L-08	45	5	17	17
TCGA-MP-A4TE-01A-22D-A25L-08	75	5	0	64
TCGA-MP-A4TF-01A-11D-A25L-08	333	33	36	33
TCGA-MP-A4TH-01A-31D-A25L-08	52	6	32	23
TCGA-MP-A4TK-01A-11D-A24P-08	266	63	18	20
TCGA-NJ-A4YF-01A-12D-A25L-08	531	40	48	26
TCGA-NJ-A4YP-01A-11D-A25L-08	120	424	43	1
TCGA-NJ-A4YQ-01A-11D-A25L-08	926	44	127	47
TCGA-NJ-A55R-01A-11D-A25L-08	201	18	48	16
TCGA-NJ-A7XG-01A-12D-A397-08	11	0	0	22
TCGA-O1-A52J-01A-11D-A25L-08	135	11	15	27
TCGA-S2-AA1A-01A-12D-A397-08	101	5	7	15
