NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	146.986	73.909	22.096	55.06	0.58	0.713	20000.0
2	146.58	74.097	21.893	55.031	0.587	0.712	30000.0
3	146.082	73.5	21.964	54.938	0.579	0.715	20000.0
4	144.911	72.948	21.909	54.601	0.574	0.721	40000.0
5	145.408	73.077	21.969	54.751	0.573	0.719	20000.0
6	146.37	73.272	22.035	54.759	0.576	0.717	40000.0
7	146.451	73.848	22.095	54.995	0.582	0.716	40000.0
8	147.043	73.484	22.253	54.921	0.577	0.719	60000.0
9	145.423	73.652	21.837	54.858	0.582	0.717	40000.0
10	146.886	74.067	22.129	55.162	0.583	0.715	30000.0
