NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	135.763	69.283	20.535	52.232	0.515	0.748	110000.0
2	135.517	68.847	20.452	52.146	0.513	0.747	110000.0
3	135.182	68.75	20.466	51.88	0.511	0.751	40000.0
4	134.414	68.442	20.435	51.878	0.507	0.752	90000.0
5	134.634	68.548	20.445	51.782	0.51	0.754	110000.0
6	135.301	68.583	20.577	51.941	0.503	0.751	90000.0
7	135.505	69.056	20.554	52.046	0.512	0.751	50000.0
8	136.871	69.026	20.845	52.232	0.508	0.751	50000.0
9	135.151	68.8	20.515	52.074	0.509	0.751	50000.0
10	136.197	69.353	20.641	52.227	0.519	0.749	60000.0
