NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	148.098	69.222	29.478	43.864	0.561	0.857	20000.0
2	145.724	69.099	29.072	43.924	0.557	0.857	30000.0
3	146.401	69.313	29.266	44.36	0.56	0.855	40000.0
4	146.445	69.063	29.234	43.938	0.557	0.856	60000.0
5	148.477	71.874	29.22	47.365	0.572	0.857	30000.0
6	145.871	68.933	28.834	43.891	0.558	0.857	30000.0
7	146.326	68.888	29.551	44.059	0.557	0.856	30000.0
8	146.578	69.195	29.606	44.313	0.558	0.855	40000.0
9	146.259	69.52	29.238	44.497	0.563	0.85	40000.0
10	145.17	68.99	28.986	43.768	0.557	0.856	30000.0
