NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	116.9	63.228	20.953	40.455	0.486	0.878	70000.0
2	117.404	62.57	21.008	40.091	0.479	0.881	60000.0
3	115.68	63.214	20.826	40.471	0.485	0.879	60000.0
4	114.022	62.767	20.034	40.006	0.486	0.881	60000.0
5	115.237	63.462	20.592	40.701	0.485	0.877	40000.0
6	114.058	62.835	20.189	40.281	0.484	0.879	50000.0
7	114.368	63.279	20.269	40.691	0.489	0.876	80000.0
8	114.438	63.372	20.25	40.489	0.492	0.877	50000.0
9	120.283	62.996	21.88	40.467	0.481	0.877	70000.0
10	115.314	63.245	20.653	40.198	0.486	0.878	60000.0
