NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	125.057	65.569	22.247	41.551	0.521	0.871	50000.0
2	125.633	65.79	22.588	41.82	0.521	0.871	70000.0
3	124.233	66.287	22.473	42.34	0.527	0.867	40000.0
4	124.586	65.366	22.19	41.626	0.516	0.871	30000.0
5	125.772	66.074	23.065	42.255	0.522	0.868	40000.0
6	124.274	65.291	22.043	41.527	0.521	0.87	40000.0
7	121.701	65.945	21.817	42.064	0.528	0.867	50000.0
8	125.536	65.552	22.508	41.805	0.518	0.869	60000.0
9	126.014	66.319	22.869	42.331	0.526	0.863	30000.0
10	122.854	65.799	22.142	41.707	0.524	0.869	40000.0
