NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	145.02	73.096	21.839	54.627	0.567	0.72	40000.0
2	144.317	73.007	21.594	54.533	0.571	0.718	70000.0
3	144.102	72.764	21.686	54.411	0.566	0.721	40000.0
4	142.896	72.169	21.635	54.151	0.562	0.726	30000.0
5	143.354	72.331	21.697	54.235	0.562	0.726	50000.0
6	144.01	72.357	21.68	54.082	0.559	0.726	40000.0
7	144.133	72.935	21.739	54.388	0.57	0.723	50000.0
8	145.577	72.649	22.051	54.465	0.56	0.725	50000.0
9	143.805	72.978	21.629	54.472	0.57	0.722	40000.0
10	145.226	73.183	21.915	54.658	0.57	0.722	30000.0
