NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	181.054	87.079	29.035	66.194	0.762	0.567	20000.0
2	179.392	86.413	28.686	65.804	0.757	0.571	50000.0
3	179.629	86.489	28.84	65.794	0.758	0.572	20000.0
4	179.181	86.493	28.814	65.778	0.76	0.572	30000.0
5	178.89	86.151	28.751	65.616	0.757	0.575	30000.0
6	180.881	86.937	29.025	66.023	0.765	0.569	20000.0
7	180.138	86.811	28.988	65.915	0.765	0.57	20000.0
8	180.67	86.769	29.096	66.063	0.763	0.571	20000.0
9	179.057	86.66	28.784	65.74	0.76	0.575	20000.0
10	180.869	87.056	29.013	66.063	0.771	0.568	20000.0
