Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-AA-3492-01A-01D-1408-10	997	369	19	138	398	0	0	123
TCGA-AA-3494-01A-01D-1408-10	2	33	1	0	6	2	9	38
TCGA-AA-3495-01A-01D-1408-10	7	50	1	2	0	21	24	19
TCGA-AA-3496-01A-21D-1835-10	9	42	3	7	0	8	13	15
TCGA-AA-3502-01A-01D-1408-10	9	95	0	36	1	15	26	18
TCGA-AA-3506-01A-01D-2188-10	0	94	2	14	12	12	28	7
TCGA-AA-3509-01A-01D-1408-10	1	46	0	6	1	3	18	18
TCGA-AA-3511-01A-21D-1835-10	0	16	10	15	12	0	10	51
TCGA-AA-3514-01A-02D-1953-10	0	26	2	0	2	0	1	0
TCGA-AA-3517-01A-01D-1953-10	0	7	0	0	0	0	6	2
TCGA-AA-3519-01A-02D-1953-10	8	5	0	11	0	1	1	0
TCGA-AA-3520-01A-01D-1953-10	3	14	0	0	5	3	0	3
TCGA-AA-3521-01A-01D-1953-10	1	7	3	0	1	0	0	3
TCGA-AA-3522-01A-01W-0831-10	0	9	3	2	5	0	6	0
TCGA-AA-3524-01A-02D-1953-10	0	3	0	1	1	1	7	0
TCGA-AA-3529-01A-02D-1953-10	1	13	0	0	0	0	7	0
TCGA-AA-3530-01A-01W-0995-10	0	44	0	0	7	14	19	12
TCGA-AA-3532-01A-01D-1953-10	0	2	0	3	8	1	1	3
TCGA-AA-3534-01A-01D-1953-10	1	18	0	0	4	0	6	2
TCGA-AA-3538-01A-01D-1953-10	3	4	0	0	0	0	6	3
TCGA-AA-3544-01A-01D-1953-10	7	7	0	6	0	0	5	0
TCGA-AA-3548-01A-01D-1953-10	0	15	0	3	3	0	2	0
TCGA-AA-3549-01A-02D-1953-10	3	6	0	3	6	0	0	0
TCGA-AA-3561-01A-01D-1953-10	2	11	0	0	0	0	4	0
TCGA-AA-3655-01A-02D-1719-10	30	29	0	6	1	0	13	8
TCGA-AA-3660-01A-01D-1719-10	24	36	2	18	0	8	34	1
TCGA-AA-3662-01A-01D-1719-10	0	35	8	0	10	0	30	0
TCGA-AA-3663-01A-01D-1719-10	890	0	8	15	846	108	18	0
TCGA-AA-3664-01A-01W-0900-09	0	74	3	10	24	0	48	0
TCGA-AA-3666-01A-02W-0900-09	22	3	12	9	18	0	0	123
TCGA-AA-3667-01A-01W-0900-09	22	9	0	4	0	0	14	18
TCGA-AA-3672-01A-01W-0900-09	942	166	0	94	302	49	0	113
TCGA-AA-3673-01A-01W-0900-09	2	29	0	0	5	11	4	22
TCGA-AA-3675-01A-02W-0900-09	2	53	4	3	0	0	27	11
TCGA-AA-3678-01A-01W-0900-09	0	32	2	10	2	2	5	18
TCGA-AA-3679-01A-02W-0900-09	4	25	0	0	1	0	8	36
TCGA-AA-3680-01A-01W-0900-09	0	49	3	23	7	11	13	3
TCGA-AA-3681-01A-01W-0900-09	0	52	0	7	12	9	7	39
TCGA-AA-3685-01A-02W-0900-09	0	31	3	4	3	6	19	21
TCGA-AA-3688-01A-01W-0900-09	0	20	11	0	11	0	23	10
TCGA-AA-3693-01A-01W-0900-09	0	23	0	0	14	6	52	65
TCGA-AA-3696-01A-01W-0900-09	9	31	3	0	4	16	22	6
TCGA-AA-3697-01A-01D-1719-10	4	20	0	13	6	25	23	113
TCGA-AA-3712-01A-21D-1719-10	0	0	11	6	0	18	53	71
TCGA-AA-3713-01A-21D-1719-10	528	215	1	37	42	21	0	95
TCGA-AA-3812-01A-01W-0900-09	0	32	5	17	18	0	23	23
TCGA-AA-3814-01A-01W-0900-09	3	42	0	0	6	31	16	9
TCGA-AA-3815-01A-01W-0995-10	211	173	13	41	428	0	10	2
TCGA-AA-3818-01A-01W-0900-09	5	35	0	7	3	45	25	32
TCGA-AA-3831-01A-01W-0900-09	8	27	2	19	0	12	6	31
TCGA-AA-3833-01A-01W-0900-09	301	156	9	8	111	0	23	0
TCGA-AA-3841-01A-01W-0900-09	0	26	0	0	0	13	7	29
TCGA-AA-3842-01A-01W-0995-10	0	35	3	6	17	0	40	0
TCGA-AA-3844-01A-01W-0995-10	0	9	0	3	21	13	34	48
TCGA-AA-3845-01A-01D-1981-10	371	219	15	29	250	54	28	2
TCGA-AA-3845-01A-01W-0995-10	314	153	0	37	265	97	20	0
TCGA-AA-3846-01A-01W-0995-10	2	23	0	7	2	7	25	31
TCGA-AA-3848-01A-01W-0900-09	4	64	0	8	14	2	52	14
TCGA-AA-3851-01A-01W-0995-10	0	41	2	7	20	0	6	16
TCGA-AA-3855-01A-01W-0995-10	5	50	8	0	10	0	34	38
TCGA-AA-3856-01A-01W-0900-09	0	23	0	10	0	0	19	10
TCGA-AA-3858-01A-01W-0900-09	0	30	0	7	5	2	11	7
TCGA-AA-3860-01A-02W-0900-09	0	11	1	1	15	0	17	8
TCGA-AA-3861-01A-01W-0995-10	0	59	0	2	7	25	19	9
TCGA-AA-3862-01A-01W-0995-10	11	10	7	0	4	1	0	63
