NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	126.777	66.716	22.468	42.023	0.54	0.867	40000.0
2	124.658	66.413	21.982	41.886	0.535	0.868	60000.0
3	130.585	67.106	23.789	42.743	0.534	0.866	40000.0
4	126.358	66.67	22.414	42.164	0.536	0.866	40000.0
5	131.394	66.844	24.119	42.778	0.53	0.865	30000.0
6	130.515	67.209	23.867	42.86	0.538	0.865	50000.0
7	125.107	66.442	22.139	42.227	0.536	0.866	30000.0
8	126.876	67.5	22.952	43.084	0.543	0.862	30000.0
9	125.65	67.174	22.33	42.604	0.545	0.86	40000.0
10	125.129	66.519	22.186	41.792	0.536	0.867	50000.0
