NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	132.956	67.892	23.947	42.837	0.552	0.863	40000.0
2	131.634	67.722	23.516	42.783	0.548	0.864	30000.0
3	140.754	68.37	28.017	43.736	0.548	0.858	40000.0
4	132.227	67.65	23.823	42.743	0.548	0.863	30000.0
5	133.124	68.085	24.077	43.228	0.549	0.861	20000.0
6	139.996	67.818	27.703	43.264	0.546	0.86	50000.0
7	132.115	67.598	23.96	42.992	0.548	0.862	40000.0
8	133.653	67.974	24.271	43.327	0.549	0.86	30000.0
9	133.876	68.51	24.743	43.724	0.556	0.854	30000.0
10	130.862	67.57	23.652	42.655	0.547	0.863	30000.0
