Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-17-Z047-01A-01W-0747-08	0	0	0	0	7	11	0	5	0
TCGA-17-Z048-01A-01W-0746-08	0	0	0	0	14	0	5	6	4
TCGA-17-Z049-01A-01W-0746-08	159	112	129	38	10	13	39	6	3
TCGA-17-Z050-01A-01W-0747-08	51	14	0	21	19	0	39	20	9
TCGA-17-Z051-01A-01W-0747-08	21	27	29	11	0	23	19	7	0
TCGA-17-Z052-01A-01W-0747-08	53	15	0	0	14	11	24	0	1
TCGA-17-Z053-01A-01W-0747-08	65	53	5	19	36	21	38	18	0
TCGA-17-Z054-01A-01W-0747-08	0	0	1	0	1	1	0	1	0
TCGA-17-Z055-01A-01W-0747-08	283	0	119	4	69	54	87	7	12
TCGA-17-Z056-01A-01W-0747-08	129	84	53	70	70	34	23	6	10
TCGA-17-Z057-01A-01W-0747-08	38	35	4	142	168	0	8	19	0
TCGA-17-Z058-01A-01W-0747-08	26	1	10	5	0	16	10	8	2
TCGA-17-Z059-01A-01W-0747-08	67	14	12	29	16	9	0	9	3
TCGA-17-Z061-01A-01W-0747-08	0	49	30	10	20	33	32	0	8
TCGA-17-Z062-01A-01W-0747-08	140	62	158	13	36	7	14	7	6
TCGA-35-4122-01A-01D-1105-08	0	102	81	42	21	6	60	13	5
TCGA-35-4123-01A-01D-1105-08	123	78	17	0	30	33	7	13	3
TCGA-35-5375-01A-01D-1625-08	184	0	0	27	32	95	56	21	25
TCGA-38-4625-01A-01D-1553-08	364	34	22	114	22	30	3	15	7
TCGA-38-4626-01A-01D-1553-08	110	4	51	1	17	29	0	0	6
TCGA-38-4627-01A-01D-1553-08	3	0	0	3	4	2	0	12	4
TCGA-38-4628-01A-01D-1265-08	10	9	21	14	14	29	3	25	1
TCGA-38-4629-01A-02D-1265-08	52	38	68	23	25	39	1	25	14
TCGA-38-4630-01A-01D-1265-08	4	0	21	49	19	0	0	28	4
TCGA-38-4631-01A-01D-1753-08	275	260	123	0	82	0	11	7	16
TCGA-38-4632-01A-01D-1753-08	195	76	50	33	0	108	40	7	17
TCGA-38-6178-01A-11D-1753-08	8	0	7	6	0	16	6	10	1
TCGA-38-7271-01A-11D-2036-08	16	6	0	12	20	0	0	0	0
TCGA-44-2655-01A-01D-1553-08	135	0	5	12	0	14	15	4	3
TCGA-44-2655-01A-01W-0928-08	119	0	20	13	0	22	17	3	1
TCGA-44-2656-01A-02D-0969-08	380	20	364	19	0	94	0	27	11
TCGA-44-2656-01A-02D-A271-08	275	87	392	13	0	44	0	22	0
TCGA-44-2656-01A-02W-0928-08	327	21	326	15	0	104	0	5	11
TCGA-44-2656-01A-12D-A27T-08	297	71	389	14	0	70	0	25	7
TCGA-44-2656-01A-41D-A27T-08	334	70	385	18	0	57	2	28	0
TCGA-44-2656-01B-06D-A271-08	270	74	324	27	0	48	1	10	3
TCGA-44-2657-01A-01D-1105-08	265	3	16	29	43	31	12	19	1
TCGA-44-2661-01A-01D-1105-08	0	4	0	4	0	17	7	6	5
TCGA-44-2662-01A-01D-0969-08	17	0	0	105	101	0	0	0	3
TCGA-44-2662-01A-01D-A271-08	20	0	0	86	108	0	0	0	3
TCGA-44-2662-01A-01W-0928-08	19	0	0	88	96	0	0	0	4
