Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-17-Z017-01A-01W-0746-08	5.10E+00	5.26E+00	2.04E+00	2.16E+00	3.43E+00
TCGA-17-Z018-01A-01W-0746-08	5.02E+00	5.07E+00	1.66E+00	1.52E+00	2.27E+00
TCGA-17-Z019-01A-01W-0746-08	0.00E+00	1.63E-01	0.00E+00	0.00E+00	1.63E-01
TCGA-17-Z020-01A-01W-0746-08	3.98E+00	4.98E+00	1.86E+00	1.43E+00	2.43E+00
TCGA-17-Z021-01A-01W-0746-08	3.30E+00	4.86E+00	9.57E-01	2.00E-01	3.98E+00
TCGA-17-Z022-01A-01W-0746-08	2.48E+01	1.94E+01	4.98E+00	3.12E+00	1.35E+01
TCGA-17-Z023-01A-01W-0746-08	8.84E+00	7.29E+00	2.86E+00	2.05E+00	8.72E+00
TCGA-17-Z025-01A-01W-0746-08	5.39E+00	5.71E+00	1.49E+00	2.49E+00	8.47E+00
TCGA-17-Z026-01A-01W-0746-08	1.71E+01	1.72E+01	7.93E+00	3.05E+00	2.48E+00
TCGA-17-Z027-01A-01W-0746-08	3.70E+00	5.01E+00	1.31E+00	2.08E+00	3.95E+00
TCGA-17-Z028-01A-01W-0746-08	9.07E+00	1.15E+01	3.33E+00	4.18E+00	5.89E+00
TCGA-17-Z030-01A-01W-0746-08	2.07E+01	2.09E+01	2.66E+00	2.18E+00	3.92E+00
TCGA-17-Z031-01A-01W-0746-08	5.55E+01	5.17E+01	6.28E+00	5.75E+00	1.59E+01
TCGA-17-Z032-01A-01W-0746-08	2.16E+00	2.57E+00	1.76E+00	2.10E+00	3.20E+00
TCGA-17-Z033-01A-01W-0746-08	4.52E+00	4.06E+00	1.66E+00	9.57E-01	3.61E+00
TCGA-17-Z036-01A-01W-0746-08	3.92E+00	4.87E+00	1.16E+00	2.37E+00	1.87E+00
TCGA-17-Z037-01A-01W-0746-08	1.88E+00	1.96E+00	1.37E+00	3.47E+00	2.96E+00
TCGA-17-Z041-01A-01W-0746-08	2.20E+00	1.62E+00	2.01E+00	9.32E-01	9.34E-01
TCGA-17-Z042-01A-01W-0746-08	1.07E+01	9.49E+00	2.40E+00	2.21E+00	5.74E+00
TCGA-17-Z043-01A-01W-0746-08	9.49E+00	9.10E+00	2.72E+00	2.12E+00	5.55E+00
TCGA-17-Z044-01A-01W-0746-08	3.92E+00	4.17E+00	1.99E+00	1.76E+00	3.18E+00
TCGA-17-Z045-01A-01W-0746-08	1.76E+01	1.85E+01	2.16E+00	1.53E+00	8.35E+00
TCGA-17-Z047-01A-01W-0747-08	2.00E-01	2.34E+00	7.46E-01	1.18E+00	1.67E+00
TCGA-17-Z048-01A-01W-0746-08	0.00E+00	2.25E+00	1.23E+00	1.24E+00	1.95E+00
TCGA-17-Z049-01A-01W-0746-08	1.06E+01	1.03E+01	4.56E+00	2.40E+00	5.49E+00
TCGA-17-Z050-01A-01W-0747-08	4.79E+00	5.63E+00	1.50E+00	2.87E+00	3.15E+00
TCGA-17-Z051-01A-01W-0747-08	4.45E+00	4.03E+00	1.17E+00	2.69E+00	3.52E+00
TCGA-17-Z052-01A-01W-0747-08	4.37E+00	2.45E+00	7.37E-01	7.33E-01	3.59E+00
TCGA-17-Z053-01A-01W-0747-08	4.63E+00	3.66E+00	2.60E+00	3.39E+00	4.69E+00
TCGA-17-Z054-01A-01W-0747-08	0.00E+00	4.33E-01	3.94E-01	4.58E-01	0.00E+00
TCGA-17-Z055-01A-01W-0747-08	1.75E+01	1.41E+01	3.00E+00	3.46E+00	7.81E+00
TCGA-17-Z056-01A-01W-0747-08	6.37E+00	8.33E+00	2.83E+00	2.03E+00	7.43E+00
TCGA-17-Z057-01A-01W-0747-08	8.08E+00	7.12E+00	5.30E+00	2.47E+00	6.10E+00
TCGA-17-Z058-01A-01W-0747-08	2.36E+00	2.30E+00	9.32E-01	2.29E+00	1.67E+00
TCGA-17-Z059-01A-01W-0747-08	2.31E+00	3.91E+00	2.12E+00	1.82E+00	2.32E+00
TCGA-17-Z061-01A-01W-0747-08	6.37E+00	6.42E+00	2.33E+00	1.37E+00	7.78E+00
TCGA-17-Z062-01A-01W-0747-08	7.34E+00	5.83E+00	3.10E+00	1.95E+00	4.72E+00
TCGA-35-4122-01A-01D-1105-08	7.11E+00	1.05E+01	2.43E+00	5.13E+00	8.54E+00
TCGA-35-4123-01A-01D-1105-08	1.00E+01	1.15E+01	1.90E+00	2.89E+00	3.39E+00
TCGA-35-5375-01A-01D-1625-08	6.18E+00	7.19E+00	1.86E+00	3.73E+00	7.18E+00
TCGA-38-4625-01A-01D-1553-08	1.36E+01	1.57E+01	4.47E+00	3.06E+00	3.23E+00
TCGA-38-4626-01A-01D-1553-08	7.52E+00	6.84E+00	1.29E+00	9.60E-01	1.93E+00
TCGA-38-4627-01A-01D-1553-08	3.71E-01	5.00E-01	6.86E-01	7.67E-01	8.33E-01
TCGA-38-4628-01A-01D-1265-08	4.29E+00	6.13E+00	1.90E+00	3.28E+00	4.80E+00
TCGA-38-4629-01A-02D-1265-08	7.28E+00	5.31E+00	2.67E+00	2.79E+00	4.72E+00
TCGA-38-4630-01A-01D-1265-08	1.99E+00	2.45E+00	3.14E+00	2.13E+00	1.46E+00
TCGA-38-4631-01A-01D-1753-08	2.40E+01	2.73E+01	3.00E+00	2.15E+00	5.94E+00
TCGA-38-4632-01A-01D-1753-08	1.24E+01	1.33E+01	3.88E+00	3.54E+00	6.73E+00
TCGA-38-6178-01A-11D-1753-08	2.06E+00	3.52E+00	1.23E+00	2.14E+00	5.54E-01
TCGA-38-7271-01A-11D-2036-08	2.33E+00	1.52E+00	1.93E+00	3.00E-01	1.00E-01
TCGA-44-2655-01A-01D-1553-08	5.40E+00	4.14E+00	1.86E+00	1.43E+00	2.17E+00
TCGA-44-2655-01A-01W-0928-08	6.71E+00	5.45E+00	1.51E+00	1.60E+00	2.78E+00
TCGA-44-2656-01A-02D-0969-08	2.04E+01	2.77E+01	2.56E+00	5.41E+00	6.62E+00
TCGA-44-2656-01A-02D-A271-08	2.23E+01	2.77E+01	3.93E+00	3.43E+00	4.80E+00
TCGA-44-2656-01A-02W-0928-08	1.90E+01	2.14E+01	1.97E+00	3.52E+00	4.55E+00
TCGA-44-2656-01A-12D-A27T-08	2.22E+01	2.61E+01	3.62E+00	2.94E+00	6.25E+00
TCGA-44-2656-01A-41D-A27T-08	1.79E+01	2.55E+01	2.99E+00	5.41E+00	5.00E+00
TCGA-44-2656-01B-06D-A271-08	1.07E+01	1.69E+01	3.23E+00	3.12E+00	5.74E+00
TCGA-44-2657-01A-01D-1105-08	8.98E+00	7.78E+00	3.13E+00	2.70E+00	3.11E+00
