Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-91-6829-01A-21D-1855-08	336	212	59	17	40
TCGA-91-6830-01A-11D-1945-08	9	23	186	4	0
TCGA-91-6831-01A-11D-1855-08	129	109	17	13	9
TCGA-91-6835-01A-11D-1855-08	18	27	16	11	6
TCGA-91-6836-01A-21D-1855-08	300	100	31	31	8
TCGA-91-6840-01A-11D-1945-08	9	21	75	19	0
TCGA-91-6847-01A-11D-1945-08	11	11	15	34	3
TCGA-91-6848-01A-11D-1945-08	295	175	103	17	13
TCGA-91-6849-01A-11D-1945-08	59	22	9	11	16
TCGA-91-7771-01A-11D-2167-08	64	77	27	13	13
TCGA-91-A4BC-01A-11D-A24D-08	310	71	26	24	24
TCGA-91-A4BD-01A-11D-A24D-08	0	1	5	14	3
TCGA-93-7347-01A-11D-2184-08	68	34	13	7	0
TCGA-93-7348-01A-21D-2036-08	38	10	18	26	20
TCGA-93-8067-01A-11D-2284-08	51	0	455	31	15
TCGA-93-8067-01C-01D-A38P-08	31	0	229	7	19
TCGA-93-8067-01D-01D-A38P-08	31	0	141	4	13
TCGA-93-A4JO-01A-21D-A24P-08	5	22	11	1	11
TCGA-93-A4JP-01A-11D-A24P-08	13	0	20	8	14
TCGA-93-A4JP-01D-01D-A38P-08	27	0	38	39	12
TCGA-93-A4JP-01E-01D-A38P-08	29	0	36	27	12
TCGA-95-7039-01A-11D-1945-08	858	196	78	56	104
TCGA-95-7043-01A-11D-1945-08	845	130	79	83	0
TCGA-95-7562-01A-11D-2238-08	327	31	14	29	0
TCGA-95-7567-01A-11D-2063-08	294	147	0	308	190
TCGA-95-7944-01A-11D-2184-08	9	25	216	13	0
TCGA-95-7947-01A-11D-2184-08	150	116	228	32	51
TCGA-95-7948-01A-11D-2184-08	0	0	129	15	0
TCGA-95-8494-01A-11D-2323-08	4	0	66	37	5
TCGA-95-A4VK-01A-11D-A25L-08	180	35	14	36	9
TCGA-95-A4VN-01A-11D-A25L-08	331	74	43	17	17
TCGA-97-7547-01A-11D-2036-08	82	22	50	21	0
TCGA-97-7552-01A-11D-2036-08	3	0	0	16	12
TCGA-97-7553-01A-21D-2036-08	15	4	4	22	0
TCGA-97-7554-01A-11D-2036-08	278	102	24	25	22
TCGA-97-7938-01A-11D-2167-08	287	46	57	28	0
TCGA-97-8171-01A-11D-2284-08	8	16	3	28	0
TCGA-97-8174-01A-11D-2284-08	92	18	23	34	2
TCGA-97-8175-01A-11D-2284-08	7	8	4	5	6
TCGA-97-8177-01A-11D-2284-08	1	15	4	8	6
TCGA-97-8552-01A-11D-2393-08	3	9	2	9	0
TCGA-97-A4LX-01A-11D-A24P-08	117	44	8	6	12
TCGA-97-A4M0-01A-11D-A24P-08	228	72	78	6	22
TCGA-97-A4M1-01A-11D-A24P-08	8	0	12	22	1
TCGA-97-A4M3-01A-11D-A24P-08	141	4	36	18	19
TCGA-97-A4M6-01A-11D-A24P-08	1	13	4	10	5
TCGA-97-A4M7-01A-11D-A24P-08	251	33	16	16	0
TCGA-99-7458-01A-11D-2036-08	323	114	23	34	4
TCGA-99-8025-01A-11D-2238-08	202	86	159	59	10
TCGA-99-8028-01A-11D-2238-08	318	29	6	10	38
TCGA-99-8033-01A-11D-2238-08	86	59	13	20	0
TCGA-99-AA5R-01A-11D-A397-08	25	14	3	0	0
TCGA-J2-8192-01A-11D-2238-08	11	19	12	30	2
TCGA-J2-8194-01A-11D-2238-08	68	40	9	29	12
TCGA-J2-A4AD-01A-11D-A24D-08	84	85	152	22	2
TCGA-J2-A4AE-01A-21D-A24D-08	0	18	16	22	0
TCGA-J2-A4AG-01A-11D-A24D-08	35	22	8	13	3
TCGA-L4-A4E5-01A-11D-A24P-08	258	42	19	21	23
TCGA-L4-A4E6-01A-11D-A24D-08	5	0	3	0	0
TCGA-L9-A443-01A-12D-A24D-08	158	64	19	12	2
TCGA-L9-A50W-01A-12D-A397-08	5	2	9	4	13
TCGA-L9-A5IP-01A-21D-A397-08	210	39	24	17	12
TCGA-L9-A743-01A-43D-A397-08	49	8	51	4	9
TCGA-L9-A7SV-01A-11D-A397-08	1537	73	72	55	0
TCGA-L9-A8F4-01A-11D-A397-08	519	139	68	37	57
TCGA-MN-A4N1-01A-11D-A24P-08	305	83	37	47	0
TCGA-MN-A4N4-01A-12D-A24P-08	899	131	381	51	66
TCGA-MN-A4N5-01A-11D-A24P-08	320	39	53	25	39
TCGA-MP-A4SV-01A-11D-A24P-08	134	70	128	17	4
TCGA-MP-A4SW-01A-21D-A24P-08	12	3	14	38	0
TCGA-MP-A4T2-01A-11D-A24P-08	13	37	27	11	0
TCGA-MP-A4T4-01A-11D-A25L-08	273	34	34	27	33
TCGA-MP-A4T6-01A-32D-A25L-08	2	22	25	25	4
TCGA-MP-A4T7-01A-11D-A24P-08	99	15	6	19	2
TCGA-MP-A4T8-01A-11D-A24P-08	58	20	9	14	13
TCGA-MP-A4T9-01A-11D-A24P-08	7	15	5	6	2
TCGA-MP-A4TA-01A-21D-A24P-08	197	80	27	34	32
TCGA-MP-A4TC-01A-11D-A24P-08	167	62	31	11	0
TCGA-MP-A4TD-01A-32D-A25L-08	34	32	5	13	0
TCGA-MP-A4TE-01A-22D-A25L-08	66	16	4	55	3
TCGA-MP-A4TF-01A-11D-A25L-08	298	56	30	28	23
TCGA-MP-A4TH-01A-31D-A25L-08	43	35	5	19	11
TCGA-MP-A4TK-01A-11D-A24P-08	233	47	59	16	12
TCGA-NJ-A4YF-01A-12D-A25L-08	464	124	38	19	0
TCGA-NJ-A4YP-01A-11D-A25L-08	110	0	399	2	77
TCGA-NJ-A4YQ-01A-11D-A25L-08	812	231	38	34	29
TCGA-NJ-A55R-01A-11D-A25L-08	177	62	16	12	16
TCGA-NJ-A7XG-01A-12D-A397-08	11	1	0	20	1
TCGA-O1-A52J-01A-11D-A25L-08	118	36	11	23	0
TCGA-S2-AA1A-01A-12D-A397-08	86	26	4	12	0
