Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-44-2656-01B-06D-A271-08	567	119	36	19	16
TCGA-44-2657-01A-01D-1105-08	308	36	45	30	0
TCGA-44-2661-01A-01D-1105-08	1	22	5	9	6
TCGA-44-2662-01A-01D-0969-08	36	14	161	3	12
TCGA-44-2662-01A-01D-A271-08	37	32	141	0	7
TCGA-44-2662-01A-01W-0928-08	37	17	141	0	12
TCGA-44-2662-01B-02D-A271-08	29	7	131	3	20
TCGA-44-2665-01A-01D-1040-01	0	0	12	22	13
TCGA-44-2665-01A-01D-A271-08	2	0	13	22	11
TCGA-44-2665-01A-01W-0928-08	0	11	14	14	13
TCGA-44-2665-01B-06D-A271-08	1	1	14	19	17
TCGA-44-2666-01A-01D-1489-08	3	4	3	13	7
TCGA-44-2666-01A-01D-A271-08	2	8	3	11	3
TCGA-44-2666-01A-01W-0928-08	1	8	4	15	4
TCGA-44-2666-01A-21D-A27T-08	6	1	3	17	7
TCGA-44-2666-01A-41D-A27T-08	2	6	5	13	8
TCGA-44-2666-01B-02D-A271-08	4	0	2	12	7
TCGA-44-2668-01A-01D-0969-08	240	36	83	18	25
TCGA-44-2668-01A-01D-A271-08	228	24	76	13	22
TCGA-44-2668-01A-01W-0928-08	252	31	85	12	17
TCGA-44-2668-01B-02D-A271-08	152	19	45	4	16
TCGA-44-3396-01A-01D-1553-08	40	33	85	35	0
TCGA-44-3398-01A-01D-1105-08	99	9	56	22	5
TCGA-44-3917-01A-01D-A271-08	107	83	26	16	0
TCGA-44-3917-01B-02D-A271-08	105	87	29	18	0
TCGA-44-3918-01B-02D-A271-08	739	75	93	20	0
TCGA-44-3919-01A-02D-1105-08	2	19	4	5	3
TCGA-44-3919-01A-02D-1458-08	1	23	8	6	0
TCGA-44-4112-01A-01D-1105-08	318	42	36	29	5
TCGA-44-4112-01A-01D-1458-08	332	54	35	28	1
TCGA-44-4112-01A-22D-A27T-08	342	44	38	41	0
TCGA-44-4112-01A-31D-A27T-08	332	19	98	46	6
TCGA-44-4112-01B-06D-A271-08	260	34	33	20	2
TCGA-44-5643-01A-01D-1625-08	34	37	31	36	0
TCGA-44-5644-01A-21D-2036-08	668	166	69	75	18
TCGA-44-5645-01A-01D-1625-08	0	11	0	13	12
TCGA-44-5645-01A-01D-A271-08	0	15	0	11	10
TCGA-44-5645-01A-21D-A27T-08	0	16	0	14	10
TCGA-44-5645-01A-51D-A27T-08	1	13	0	14	10
TCGA-44-5645-01B-04D-A271-08	1	14	0	15	7
TCGA-44-6144-01A-11D-1753-08	125	29	25	23	34
TCGA-44-6145-01A-11D-1753-08	257	21	10	16	21
TCGA-44-6147-01A-11D-1753-08	113	16	20	15	23
TCGA-44-6147-01A-11D-A271-08	126	13	30	18	12
TCGA-44-6147-01A-21D-A27T-08	123	9	25	48	21
TCGA-44-6147-01A-31D-A27T-08	79	20	8	0	16
TCGA-44-6147-01B-06D-A271-08	90	16	12	15	18
TCGA-44-6774-01A-21D-1855-08	239	44	10	11	3
TCGA-44-6775-01A-11D-1855-08	18	18	5	11	8
TCGA-44-6775-01A-11D-A271-08	11	19	7	13	9
TCGA-44-6775-01A-21D-A27T-08	13	23	5	10	7
TCGA-44-6775-01A-31D-A27T-08	18	24	8	11	5
