Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AA-3697-01A-01D-1719-10	15	39	6	11	8	125
TCGA-AA-3712-01A-21D-1719-10	9	0	15	10	0	125
TCGA-AA-3713-01A-21D-1719-10	572	301	9	10	0	47
TCGA-AA-3812-01A-01W-0900-09	0	32	2	18	31	35
TCGA-AA-3814-01A-01W-0900-09	6	47	10	0	8	36
TCGA-AA-3815-01A-01W-0995-10	197	125	0	25	531	0
TCGA-AA-3818-01A-01W-0900-09	11	43	15	9	6	68
TCGA-AA-3831-01A-01W-0900-09	10	37	6	19	1	32
TCGA-AA-3833-01A-01W-0900-09	309	180	0	0	119	0
TCGA-AA-3841-01A-01W-0900-09	0	34	4	0	0	37
TCGA-AA-3842-01A-01W-0995-10	0	26	0	9	23	43
TCGA-AA-3844-01A-01W-0995-10	0	10	0	5	34	79
TCGA-AA-3845-01A-01D-1981-10	388	235	15	21	309	0
TCGA-AA-3845-01A-01W-0995-10	348	157	14	32	335	0
TCGA-AA-3846-01A-01W-0995-10	4	27	2	8	0	56
TCGA-AA-3848-01A-01W-0900-09	0	62	0	9	17	70
TCGA-AA-3851-01A-01W-0995-10	0	38	0	6	32	16
TCGA-AA-3855-01A-01W-0995-10	3	56	7	0	13	66
TCGA-AA-3856-01A-01W-0900-09	0	24	0	9	0	29
TCGA-AA-3858-01A-01W-0900-09	0	30	0	7	5	20
TCGA-AA-3860-01A-02W-0900-09	0	6	0	2	22	23
TCGA-AA-3861-01A-01W-0995-10	0	63	6	3	11	38
TCGA-AA-3862-01A-01W-0995-10	15	22	7	0	4	48
TCGA-AA-3864-01A-01D-1981-10	1305	1538	10	26	0	0
TCGA-AA-3866-01A-01W-0995-10	7	54	0	11	4	46
TCGA-AA-3867-01A-01W-0995-10	0	32	5	1	7	53
TCGA-AA-3869-01A-01W-0995-10	4	23	0	18	7	27
TCGA-AA-3870-01A-01W-0995-10	16	51	5	5	5	44
TCGA-AA-3875-01A-01W-0900-09	2	47	1	18	1	60
TCGA-AA-3930-01A-01W-0995-10	19	16	3	26	0	143
TCGA-AA-3939-01A-01W-0995-10	0	38	0	16	3	62
TCGA-AA-3941-01A-01W-0995-10	4	47	1	10	7	42
TCGA-AA-3952-01A-01W-0995-10	0	22	4	0	11	55
TCGA-AA-3955-01A-02W-0995-10	0	18	5	0	17	93
TCGA-AA-3956-01A-02W-0995-10	0	35	0	12	31	54
TCGA-AA-3967-01A-01W-1073-09	13	45	6	0	1	91
TCGA-AA-3968-01A-01W-0995-10	0	43	8	6	13	57
TCGA-AA-3971-01A-01W-0995-10	0	17	0	7	11	53
TCGA-AA-3972-01A-01W-0995-10	0	23	0	11	15	45
TCGA-AA-3977-01A-01D-1981-10	314	86	2854	1390	0	0
TCGA-AA-3977-01A-01W-0995-10	139	114	2419	1233	0	0
TCGA-AA-3979-01A-01W-0995-10	24	34	4	10	9	69
TCGA-AA-3980-01A-02W-0995-10	3	37	4	12	3	44
TCGA-AA-3982-01A-02W-0995-10	11	35	2	20	0	57
TCGA-AA-3984-01A-02D-1981-10	0	95	2051	3387	0	119
TCGA-AA-3984-01A-02W-0995-10	0	55	1842	2859	0	158
TCGA-AA-3986-01A-02W-0995-10	0	46	10	0	6	30
TCGA-AA-3989-01A-01W-0995-10	24	43	5	0	12	31
TCGA-AA-A004-01A-01W-A00E-09	10	27	1	0	2	29
TCGA-AA-A00O-01A-02W-A00E-09	3	18	1	1	29	35
TCGA-AA-A00Z-01A-01D-A17O-10	0	4	0	0	5	2
TCGA-AA-A010-01A-01D-A17O-10	1484	304	4549	2476	0	0
TCGA-AA-A010-01A-01W-A00E-09	1060	255	4412	2168	0	0
TCGA-AA-A017-01A-01W-A00E-09	0	18	0	3	0	30
TCGA-AA-A01C-01A-01W-A00E-09	0	21	5	0	10	41
TCGA-AA-A01I-01A-02W-A00E-09	11	43	9	4	0	44
TCGA-AA-A01K-01A-01W-A00E-09	13	9	4	0	26	87
TCGA-AA-A01P-01A-21D-A17O-10	355	239	1	32	213	0
TCGA-AA-A01P-01A-21W-A096-10	153	114	4	26	221	39
TCGA-AA-A01S-01A-21W-A096-10	8	24	4	0	2	25
TCGA-AA-A01T-01A-21W-A096-10	0	20	1	5	10	60
TCGA-AA-A01V-01A-23W-A096-10	18	42	6	16	0	42
TCGA-AA-A01X-01A-21W-A096-10	0	29	4	0	15	25
TCGA-AA-A01Z-01A-11W-A096-10	0	40	1	6	19	29
TCGA-AA-A022-01A-21D-A17O-10	671	593	2	59	153	0
TCGA-AA-A022-01A-21W-A096-10	543	450	4	59	189	16
TCGA-AA-A024-01A-02W-A00E-09	6	32	1	5	6	29
TCGA-AA-A029-01A-01W-A00E-09	0	28	7	6	9	35
TCGA-AA-A02E-01A-01W-A00E-09	1	22	4	5	44	86
TCGA-AA-A02H-01A-01W-A00E-09	6	19	6	10	4	28
TCGA-AA-A02J-01A-01W-A00E-09	5	14	8	26	6	68
TCGA-AA-A02K-01A-21W-A096-10	20	34	1	9	20	55
TCGA-AA-A02O-01A-21W-A096-10	0	72	0	8	27	58
TCGA-AA-A02R-01A-01W-A00E-09	426	134	0	6	488	10
TCGA-AA-A02W-01A-01W-A00E-09	15	38	2	0	4	36
TCGA-AA-A02Y-01A-43W-A096-10	0	31	7	21	6	47
TCGA-AA-A03J-01A-21W-A096-10	0	27	2	13	25	34
TCGA-AD-6548-01A-11D-1835-10	0	42	1	4	29	53
TCGA-AD-6888-01A-11D-1924-10	10	61	0	14	9	11
TCGA-AD-6889-01A-11D-1924-10	840	296	0	9	484	9
TCGA-AD-6890-01A-11D-1924-10	0	68	7	0	0	36
TCGA-AD-6895-01A-11D-1924-10	776	349	0	147	13	451
TCGA-AD-6901-01A-11D-1924-10	27	60	12	29	30	112
TCGA-AD-6963-01A-11D-1924-10	10	26	0	0	9	30
TCGA-AD-6964-01A-11D-1924-10	882	0	0	57	565	119
TCGA-AD-6965-01A-11D-1924-10	17	59	6	5	6	40
TCGA-AD-A5EJ-01A-11D-A28G-10	763	230	23	0	381	41
TCGA-AD-A5EK-01A-11D-A28G-10	17	31	4	0	0	52
TCGA-AM-5820-01A-01D-1650-10	6	32	6	0	0	22
TCGA-AU-3779-01A-01D-1719-10	7	52	11	0	0	44
TCGA-AU-6004-01A-11D-1719-10	298	291	0	42	263	0
TCGA-AY-4071-01A-01W-1073-09	0	16	0	18	19	68
TCGA-AY-5543-01A-01D-1650-10	4	45	9	5	23	33
TCGA-AY-6197-01A-11D-1719-10	410	0	0	28	634	0
TCGA-AY-6386-01A-21D-1719-10	0	46	0	11	23	32
TCGA-AY-A54L-01A-11D-A28G-10	29	31	5	14	9	60
TCGA-AY-A69D-01A-11D-A36X-10	0	76	14	23	22	72
TCGA-AY-A71X-01A-12D-A36X-10	8	44	1	15	0	18
TCGA-AY-A8YK-01A-11D-A40P-10	24	32	2	4	5	12
TCGA-AZ-4308-01A-01D-1408-10	0	8	0	15	17	28
TCGA-AZ-4313-01A-01D-1408-10	46	1021	0	0	111	0
TCGA-AZ-4315-01A-01D-1408-10	136	80	2399	4462	135	0
TCGA-AZ-4614-01A-01D-1408-10	0	38	0	2	66	85
TCGA-AZ-4615-01A-01D-1408-10	342	216	0	22	394	0
TCGA-AZ-4681-01A-01D-1408-10	0	30	0	2	10	37
TCGA-AZ-5403-01A-01D-1650-10	10	17	9	7	0	34
TCGA-AZ-5407-01A-01D-1719-10	9	47	7	0	0	39
TCGA-AZ-6598-01A-11D-1771-10	1413	565	0	89	108	0
TCGA-AZ-6599-01A-11D-1771-10	11	0	0	46	0	206
TCGA-AZ-6600-01A-11D-1771-10	2	47	12	5	17	59
