NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	122.109	65.196	22.002	41.684	0.51	0.872	40000.0
2	119.778	65.165	21.386	41.325	0.514	0.875	70000.0
3	119.549	65.555	21.495	41.759	0.515	0.87	40000.0
4	121.258	64.891	21.931	41.36	0.506	0.872	80000.0
5	118.172	65.105	20.942	41.53	0.513	0.871	60000.0
6	117.94	65.022	20.727	41.368	0.517	0.871	80000.0
7	117.738	65.295	20.737	41.505	0.516	0.87	50000.0
8	122.431	64.687	21.709	41.242	0.503	0.873	40000.0
9	121.102	64.715	21.677	41.344	0.509	0.87	50000.0
10	121.861	64.54	21.803	41.049	0.502	0.874	40000.0
