NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	149.927	75.517	22.535	55.943	0.601	0.703	20000.0
2	149.17	75.311	22.287	55.832	0.604	0.704	30000.0
3	148.854	75.094	22.369	55.651	0.6	0.707	30000.0
4	148.061	74.688	22.354	55.542	0.598	0.71	20000.0
5	148.081	74.605	22.31	55.393	0.595	0.712	20000.0
6	149.169	74.789	22.407	55.488	0.595	0.709	20000.0
7	149.223	75.373	22.502	55.87	0.603	0.707	40000.0
8	149.689	75.026	22.628	55.767	0.597	0.711	30000.0
9	148.386	75.159	22.26	55.694	0.603	0.708	20000.0
10	149.57	75.389	22.54	55.977	0.606	0.705	20000.0
