Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-86-7701-01A-11D-2167-08	126	0	5	46	19	8
TCGA-86-7711-01A-11D-2063-08	70	39	48	38	21	15
TCGA-86-7713-01A-11D-2063-08	56	80	6	0	11	7
TCGA-86-7954-01A-11D-2184-08	63	56	35	24	36	6
TCGA-86-7955-01A-11D-2184-08	131	82	35	21	28	31
TCGA-86-8055-01A-11D-2238-08	0	12	6	0	17	9
TCGA-86-8056-01A-11D-2238-08	38	51	158	0	25	15
TCGA-86-8073-01A-11D-2238-08	1082	132	115	149	41	34
TCGA-86-8074-01A-11D-2238-08	4	25	4	1	12	25
TCGA-86-8075-01A-11D-2238-08	2	0	3	10	24	3
TCGA-86-8076-01A-31D-2238-08	3	28	22	3	11	0
TCGA-86-8279-01A-11D-2284-08	378	0	22	102	25	16
TCGA-86-8280-01A-11D-2284-08	0	20	2	13	13	0
TCGA-86-8281-01A-11D-2284-08	144	26	29	38	30	0
TCGA-86-8359-01A-11D-2323-08	94	33	10	0	24	9
TCGA-86-8585-01A-11D-2393-08	297	59	107	113	18	0
TCGA-86-8668-01A-11D-2393-08	2	0	5	6	16	2
TCGA-86-8671-01A-11D-2393-08	4	2	4	10	7	6
TCGA-86-8672-01A-21D-2393-08	136	97	38	0	24	20
TCGA-86-8673-01A-11D-2393-08	220	123	37	80	19	10
TCGA-86-8674-01A-21D-2393-08	190	50	37	0	7	20
TCGA-86-A456-01A-11D-A24D-08	228	9	34	61	21	11
TCGA-86-A4JF-01A-11D-A24P-08	272	0	110	406	482	52
TCGA-86-A4P7-01A-11D-A24P-08	0	16	25	13	6	0
TCGA-91-6828-01A-11D-1855-08	165	54	27	0	22	8
TCGA-91-6829-01A-21D-1855-08	287	156	51	133	12	25
TCGA-91-6830-01A-11D-1945-08	11	0	180	28	3	0
TCGA-91-6831-01A-11D-1855-08	114	59	14	80	10	0
TCGA-91-6835-01A-11D-1855-08	19	3	15	28	9	4
TCGA-91-6836-01A-21D-1855-08	242	158	24	12	27	7
TCGA-91-6840-01A-11D-1945-08	8	10	72	16	18	0
TCGA-91-6847-01A-11D-1945-08	9	5	15	13	31	1
TCGA-91-6848-01A-11D-1945-08	276	58	98	158	13	0
TCGA-91-6849-01A-11D-1945-08	45	36	8	8	10	10
TCGA-91-7771-01A-11D-2167-08	48	61	24	41	11	9
TCGA-91-A4BC-01A-11D-A24D-08	255	134	20	3	21	22
TCGA-91-A4BD-01A-11D-A24D-08	0	0	5	6	11	1
TCGA-93-7347-01A-11D-2184-08	61	22	12	21	6	0
TCGA-93-7348-01A-21D-2036-08	30	17	17	13	24	11
TCGA-93-8067-01A-11D-2284-08	53	0	449	0	32	18
TCGA-93-8067-01C-01D-A38P-08	33	0	227	0	8	18
TCGA-93-8067-01D-01D-A38P-08	31	0	139	0	5	14
TCGA-93-A4JO-01A-21D-A24P-08	2	13	11	17	1	6
TCGA-93-A4JP-01A-11D-A24P-08	5	16	19	0	7	8
TCGA-93-A4JP-01D-01D-A38P-08	26	5	38	0	38	9
TCGA-93-A4JP-01E-01D-A38P-08	22	17	35	0	25	5
TCGA-95-7039-01A-11D-1945-08	756	213	67	156	46	54
TCGA-95-7043-01A-11D-1945-08	760	172	70	59	74	2
TCGA-95-7562-01A-11D-2238-08	304	26	12	33	26	0
TCGA-95-7567-01A-11D-2063-08	275	0	0	324	270	70
TCGA-95-7944-01A-11D-2184-08	0	37	211	2	13	0
TCGA-95-7947-01A-11D-2184-08	110	133	220	55	29	30
TCGA-95-7948-01A-11D-2184-08	0	0	129	0	15	0
TCGA-95-8494-01A-11D-2323-08	5	0	64	0	35	8
TCGA-95-A4VK-01A-11D-A25L-08	159	51	11	11	33	9
TCGA-95-A4VN-01A-11D-A25L-08	278	123	37	16	14	14
TCGA-97-7547-01A-11D-2036-08	74	14	48	20	19	0
TCGA-97-7552-01A-11D-2036-08	0	9	0	0	14	8
TCGA-97-7553-01A-21D-2036-08	15	3	4	0	23	0
TCGA-97-7554-01A-11D-2036-08	237	112	19	49	20	14
TCGA-97-7938-01A-11D-2167-08	271	0	53	70	24	0
TCGA-97-8171-01A-11D-2284-08	7	8	2	10	28	0
TCGA-97-8174-01A-11D-2284-08	80	24	22	10	32	1
TCGA-97-8175-01A-11D-2284-08	4	10	4	2	5	5
TCGA-97-8177-01A-11D-2284-08	0	17	3	0	8	6
TCGA-97-8552-01A-11D-2393-08	0	14	1	0	8	0
TCGA-97-A4LX-01A-11D-A24P-08	115	0	7	56	4	5
TCGA-97-A4M0-01A-11D-A24P-08	197	69	74	58	3	5
TCGA-97-A4M1-01A-11D-A24P-08	8	0	12	1	20	2
TCGA-97-A4M3-01A-11D-A24P-08	135	0	34	22	16	11
TCGA-97-A4M6-01A-11D-A24P-08	2	0	4	15	9	3
TCGA-97-A4M7-01A-11D-A24P-08	237	17	14	32	14	2
TCGA-99-7458-01A-11D-2036-08	295	58	19	97	29	0
TCGA-99-8025-01A-11D-2238-08	172	85	153	46	54	6
TCGA-99-8028-01A-11D-2238-08	300	0	5	73	6	17
TCGA-99-8033-01A-11D-2238-08	77	32	12	39	18	0
TCGA-99-AA5R-01A-11D-A397-08	19	19	2	2	0	0
TCGA-J2-8192-01A-11D-2238-08	0	37	11	0	26	0
TCGA-J2-8194-01A-11D-2238-08	49	58	7	9	27	8
TCGA-J2-A4AD-01A-11D-A24D-08	87	0	146	93	19	0
TCGA-J2-A4AE-01A-21D-A24D-08	0	3	16	15	22	0
TCGA-J2-A4AG-01A-11D-A24D-08	37	0	7	23	11	3
TCGA-L4-A4E5-01A-11D-A24P-08	234	49	15	27	19	19
TCGA-L4-A4E6-01A-11D-A24D-08	5	0	2	1	0	0
TCGA-L9-A443-01A-12D-A24D-08	146	28	16	48	10	7
TCGA-L9-A50W-01A-12D-A397-08	1	11	8	0	3	10
TCGA-L9-A5IP-01A-21D-A397-08	180	68	20	12	13	9
TCGA-L9-A743-01A-43D-A397-08	41	15	50	9	3	3
TCGA-L9-A7SV-01A-11D-A397-08	1441	69	62	120	45	0
TCGA-L9-A8F4-01A-11D-A397-08	498	24	63	172	31	32
TCGA-MN-A4N1-01A-11D-A24P-08	265	98	32	30	42	5
TCGA-MN-A4N4-01A-12D-A24P-08	816	147	367	114	43	41
TCGA-MN-A4N5-01A-11D-A24P-08	298	19	49	67	21	22
TCGA-MP-A4SV-01A-11D-A24P-08	117	46	124	52	14	0
TCGA-MP-A4SW-01A-21D-A24P-08	7	11	13	0	35	1
TCGA-MP-A4T2-01A-11D-A24P-08	14	5	26	33	10	0
TCGA-MP-A4T4-01A-11D-A25L-08	241	55	30	36	22	17
TCGA-MP-A4T6-01A-32D-A25L-08	0	13	24	16	23	2
TCGA-MP-A4T7-01A-11D-A24P-08	83	34	4	0	17	3
TCGA-MP-A4T8-01A-11D-A24P-08	55	8	9	21	13	8
TCGA-MP-A4T9-01A-11D-A24P-08	3	14	5	6	5	2
TCGA-MP-A4TA-01A-21D-A24P-08	189	0	26	115	29	11
TCGA-MP-A4TC-01A-11D-A24P-08	148	49	29	35	10	0
TCGA-MP-A4TD-01A-32D-A25L-08	26	29	4	13	12	0
TCGA-MP-A4TE-01A-22D-A25L-08	61	13	3	11	52	4
TCGA-MP-A4TF-01A-11D-A25L-08	264	70	25	33	24	19
TCGA-MP-A4TH-01A-31D-A25L-08	38	14	4	33	17	7
TCGA-MP-A4TK-01A-11D-A24P-08	203	67	54	20	13	10
TCGA-NJ-A4YF-01A-12D-A25L-08	422	108	31	62	15	7
TCGA-NJ-A4YP-01A-11D-A25L-08	96	31	390	0	4	67
TCGA-NJ-A4YQ-01A-11D-A25L-08	721	189	27	166	24	17
TCGA-NJ-A55R-01A-11D-A25L-08	162	32	14	59	10	6
TCGA-NJ-A7XG-01A-12D-A397-08	8	5	0	0	19	1
TCGA-O1-A52J-01A-11D-A25L-08	115	0	9	44	20	0
TCGA-S2-AA1A-01A-12D-A397-08	75	26	3	14	10	0
