"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"MXRA5",2,0,0,0,38,0,0,0,0,40,33,33
"PCDH10",4,1,0,0,33,1,0,0,0,39,33,33
"RIMS2",4,2,0,0,28,4,0,1,0,39,33,33
"ACVR2A",20,0,2,0,9,5,0,1,0,37,33,33
"HECW1",1,1,0,0,30,2,0,3,0,37,33,33
"HECTD4",2,0,1,0,28,5,0,0,0,36,33,33
"ZNF831",8,1,0,0,25,2,0,0,0,36,33,33
"ADAMTS2",2,3,0,0,26,0,0,2,0,33,33,33
"DYNC2H1",4,0,0,0,45,15,0,0,0,64,32,32
"PCDH11X",3,0,0,0,45,4,0,0,0,52,32,32
"KMT2A",7,3,0,0,33,4,0,0,0,47,32,32
"PRKDC",14,2,2,0,20,9,0,0,0,47,32,32
"CDH10",5,4,0,0,34,2,0,1,0,46,32,32
"RELN",1,0,0,0,40,3,0,0,0,44,32,32
"RIMS1",3,1,0,0,30,10,0,0,0,44,32,32
"TENM3",2,0,0,0,37,5,0,0,0,44,32,32
"PLXNA4",3,0,0,0,35,2,0,2,0,42,32,32
"ASH1L",7,1,0,0,30,3,0,0,0,41,32,32
"CACNA1A",10,4,0,0,27,0,0,0,0,41,32,32
"GRIK2",8,1,0,0,26,4,0,0,0,39,32,32
"SCN5A",1,0,0,0,38,0,0,0,0,39,32,32
"TNXB",1,0,0,0,36,2,0,0,0,39,32,32
"FBN3",7,0,1,0,28,2,0,0,0,38,32,32
"TENM1",3,0,0,0,28,4,0,3,0,38,32,32
"MAGEC1",1,0,0,0,35,1,0,0,0,37,32,32
"PXDN",6,3,0,0,24,3,0,0,0,36,32,32
"ZNF536",2,1,0,0,33,0,0,0,0,36,32,32
"IGSF9B",3,6,0,0,26,0,0,0,0,35,32,32
"PAPPA2",0,0,0,0,30,2,0,0,0,32,32,32
"CNOT1",3,0,0,0,51,2,0,0,0,56,31,31
"DOCK2",0,1,0,0,40,6,0,2,0,49,31,31
"MYCBP2",6,0,0,0,32,9,0,1,0,48,31,31
"LRRIQ1",5,4,0,0,26,8,0,4,0,47,31,31
"ZDBF2",8,0,1,0,33,5,0,0,0,47,31,31
"BMPR2",25,0,0,0,10,7,0,1,0,43,31,31
"MEGF8",9,1,0,0,30,2,0,0,0,42,31,31
"BSN",3,0,0,0,36,1,0,0,0,40,31,31
"DYSF",7,1,0,0,27,3,0,1,0,39,31,31
"PKHD1",2,0,1,0,33,3,0,0,0,39,31,31
