NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	143.162	72.401	21.566	54.219	0.557	0.724	60000.0
2	142.521	72.166	21.37	54.119	0.556	0.724	70000.0
3	142.1	71.944	21.394	53.844	0.554	0.728	50000.0
4	141.272	71.523	21.393	53.689	0.55	0.732	40000.0
5	141.213	71.454	21.378	53.687	0.548	0.732	50000.0
6	142.309	71.514	21.465	53.64	0.546	0.732	40000.0
7	142.094	72.196	21.499	53.972	0.558	0.728	50000.0
8	143.613	71.803	21.748	53.881	0.548	0.732	90000.0
9	141.738	71.953	21.38	53.955	0.555	0.729	40000.0
10	143.69	72.572	21.716	54.312	0.562	0.725	40000.0
