Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS40a	SBS54
TCGA-AA-3673-01A-01W-0900-09	43	30	0	0	0	0	0	0
TCGA-AA-3675-01A-02W-0900-09	55	2	0	0	0	0	43	0
TCGA-AA-3678-01A-01W-0900-09	44	18	0	9	0	0	0	0
TCGA-AA-3679-01A-02W-0900-09	38	4	0	0	0	0	32	0
TCGA-AA-3680-01A-01W-0900-09	59	28	0	22	0	0	0	0
TCGA-AA-3681-01A-01W-0900-09	71	10	0	0	0	0	45	0
TCGA-AA-3685-01A-02W-0900-09	41	11	0	0	0	0	35	0
TCGA-AA-3688-01A-01W-0900-09	25	18	0	0	0	0	32	0
TCGA-AA-3693-01A-01W-0900-09	52	2	0	0	0	0	106	0
TCGA-AA-3696-01A-01W-0900-09	39	18	0	0	0	0	34	0
TCGA-AA-3697-01A-01D-1719-10	69	0	0	0	0	0	135	0
TCGA-AA-3712-01A-21D-1719-10	19	0	0	0	0	0	140	0
TCGA-AA-3713-01A-21D-1719-10	222	196	0	0	521	0	0	0
TCGA-AA-3812-01A-01W-0900-09	46	57	0	15	0	0	0	0
TCGA-AA-3814-01A-01W-0900-09	55	8	0	0	0	0	44	0
TCGA-AA-3815-01A-01W-0995-10	244	301	0	0	178	0	0	155
TCGA-AA-3818-01A-01W-0900-09	59	20	0	0	0	0	73	0
TCGA-AA-3831-01A-01W-0900-09	34	24	0	18	29	0	0	0
TCGA-AA-3833-01A-01W-0900-09	164	126	0	0	219	99	0	0
TCGA-AA-3841-01A-01W-0900-09	39	0	0	0	0	0	36	0
TCGA-AA-3842-01A-01W-0995-10	43	23	0	0	0	0	35	0
TCGA-AA-3844-01A-01W-0995-10	34	2	0	0	0	0	92	0
TCGA-AA-3845-01A-01D-1981-10	270	153	0	0	303	137	0	105
TCGA-AA-3845-01A-01W-0995-10	227	168	0	0	244	150	0	97
TCGA-AA-3846-01A-01W-0995-10	36	23	0	0	0	0	38	0
